Company Name,Company Profile,Summary,Category1,Category2,Category3
Bifrost,https://www.joinef.com/companies/bifrost/,"The most transparent, robust and efficient (cost and time) way for insurers and reinsurers to trade risk",Finance,Finance,Finance
Nosso,https://www.joinef.com/companies/nosso/,Making investing for our children a family affair.,Finance,Finance,Finance
SILINA,https://www.joinef.com/companies/silina/,"Bringing a paradigm shift to the imaging industry by curving imaging sensors at industrial scale, enabling a new generation of cameras.",Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Chipiron,https://www.joinef.com/companies/chipiron/,Making MRIs accessible to all of humanity.,Healthcare,Healthcare,Healthcare
Lenkie,https://www.joinef.com/companies/lenkie/,"Providing the embedded lending infrastructure to enable online platforms, to become a source of funding for their business users.",Finance,Finance,Finance
Kettel,https://www.joinef.com/companies/kettel/,Kettel helps first time buyers purchase and manage their home,"Construction, Property or Real Estate","Construction, Property or Real Estate","Construction, Property or Real Estate"
Syndi Health,https://www.joinef.com/companies/syndi-health/,Outcome-driven digital health recommendation platform using machine learning and digital phenotyping,Mental Health,Healthcare,Mental Health
Muddy Machines,https://www.joinef.com/companies/muddy-machines/,Robots for farms - solving the harvest labour shortage,Robotics/IoT,"Food, Agriculture or Farming",Robotics/IoT
Expertia AI,https://www.joinef.com/companies/expertia-ai/,Job and candidate decision assistant,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
UngearVR,https://www.joinef.com/companies/ungearvr/,VR-like immersive experiences to daily display devices without any specialized VR gear,Media or Entertainment,Gaming or eSports,Media or Entertainment
Fello,https://www.joinef.com/companies/fello/,Game based savings and investment app for the Gen-Z of India,Finance,Finance,Finance
Rightbot,https://www.joinef.com/companies/rightbot/,Revolutionising warehouse automation,"Supply Chain, Transportation or Logistics",Robotics/IoT,"Supply Chain, Transportation or Logistics"
NeuroPixel AI,https://www.joinef.com/companies/neuropixel-ai/,Fashion Cataloging 2.0,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
immunitoAI,https://www.joinef.com/companies/immunitoai/,A full-stack antibody discovery company powered by AI,Healthcare,Biotechnology,Healthcare
Subconscious Compute,https://www.joinef.com/companies/subconscious-compute/,Internet-free intelligent devices.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Aspiro,https://www.joinef.com/companies/aspiro/,Voice AI based sales coaching.,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Polymerize,https://www.joinef.com/companies/polymerize/,Providing an AI powered software platform for polymer companies to accelerate material development by 3X at 1/2 the R&D costs.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
HIER Foods,https://www.joinef.com/companies/hier-foods/,An end-to-end procurement tool for regional food.,"Food, Agriculture or Farming","Food, Agriculture or Farming","Food, Agriculture or Farming"
Cargoflip,https://www.joinef.com/companies/cargoflip/,An all-in-one platform to simplify international trade for business.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Volatile AI,https://www.joinef.com/companies/volatile-ai/,Making digital olfaction a reality,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Micrographia Bio,https://www.joinef.com/companies/micrographia-bio/,Transforming drug discovery through spatial proteomics.,Biotechnology,Biotechnology,Biotechnology
Augmize,https://www.joinef.com/companies/augmize/,Automating reserving to deliver timely decision analytics to management.,Finance,Finance,Finance
thymia,https://www.joinef.com/companies/thymia/,"Making mental health assessments smart using speech, video & video games.",Mental Health,Gaming or eSports,Healthcare
Spotted Zebra,https://www.joinef.com/companies/spotted-zebra/,Helping hiring managers make better talent decisions.,Future of Work,Future of Work,Future of Work
PreWarp,https://www.joinef.com/companies/prewarp/,Helping brands earn more and waste less.,Data Science,Commerce or Marketplace,Data Science
Phycobloom,https://www.joinef.com/companies/phycobloom/,Engineering Algae that will turn the oil industry green.,Sustainability,Biotechnology,Energy
Krew,https://www.joinef.com/companies/krew/,Discover thousands of live workouts. Measure every second you move.,Media or Entertainment,Media or Entertainment,Media or Entertainment
Dishpatch,https://www.joinef.com/companies/dishpatch/,"Delivering the best restaurants, UK-wide.",Restaurant Tech,Restaurant Tech,Restaurant Tech
Thermosphr,https://www.joinef.com/companies/thermosphr/,SaaS using thermal modeling to make buildings energy-efficient.,Sustainability,Energy,Sustainability
Playback,https://www.joinef.com/companies/playback/,B2B wholesale video based e-commerce platform.,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
ByWays,https://www.joinef.com/companies/byways/,Optimising warehouse logistics and supply chains.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
ShareID,https://www.joinef.com/companies/shareid/,Building the future of authentication to enable digital trust,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Semana,https://www.joinef.com/companies/semana/,Helping companies organise remote working to optimise their office space,Future of Work,Future of Work,Future of Work
The Lowdown,https://www.joinef.com/companies/the-lowdown/,"Transforming women's health, starting with contraception.",Healthcare,Healthcare,Healthcare
Genie AI,https://www.joinef.com/companies/genie-ai/,Tackling industry level problems in law by open sourcing legal knowledge,Legal,Legal,Legal
Marlin AI,https://www.joinef.com/companies/marlin-ai/,Using AI to enhance shipping containers' utilisation and revenue streams.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
LitmusEye,https://www.joinef.com/companies/litmuseye/,Using 3D vision and deep learning for accurate dimensioning and to increase efficiency in express logistics.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
BrainEnTech Neuroscience,https://www.joinef.com/companies/brainentech-neuroscience/,Using deep learning on brain activity to optimise online education.,Education,Education,Education
MEDO.ai,https://www.joinef.com/companies/medo-ai/,Making sense of ultrasound images using AI,Healthcare,Healthcare,Healthcare
ElementZero BioLabs,https://www.joinef.com/companies/elementzero-biolabs/,"Bringing diagnostics tests, 100x more sensitive, to point of care",Biotechnology,Biotechnology,Biotechnology
DeepSpin,https://www.joinef.com/companies/deepspin/,Developing next-generation MRI systems at a fraction of the cost,Healthcare,Healthcare,Healthcare
Peakflo,https://www.joinef.com/companies/peakflo/,Unlocking peak cashflows and saving SMEs 2-5% of their revenues,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Airboxr,https://www.joinef.com/companies/airboxr/,No-code sidebar inside your spreadsheets to analyse and enrich data.,Data Science,Data Science,Data Science
MedPay,https://www.joinef.com/companies/medpay/,Enabling B2C businesses to deliver outpatient services at scale.,Healthcare,Healthcare,Healthcare
Rumble Studio,https://www.joinef.com/companies/rumble-studio/,SAAS enabling content marketers to record and publish audio as quickly as a blog post.,Media or Entertainment,Advertising/Marketing,Media or Entertainment
Contreeb SAS,https://www.joinef.com/companies/contreeb-sas/,Enabling online shops and their consumers to balance their carbon footprint.,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Biofeyn SAS,https://www.joinef.com/companies/biofeyn-sas/,Creating better feed for better fish.,"Food, Agriculture or Farming",Biotechnology,"Food, Agriculture or Farming"
Kinetix,https://www.joinef.com/companies/kinetix/,Democratising 3D animation by making it faster and more accessible for all creative minds.,web3,Gaming or eSports,Media or Entertainment
Vadoo,https://www.joinef.com/companies/vadoo/,Helping video streaming platforms reduce bandwidth cost and improve latency.,Media or Entertainment,Media or Entertainment,Media or Entertainment
Retail Pulse,https://www.joinef.com/companies/retail-pulse/,Enabling consumer goods companies to optimise product visibility and revenue,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Spenny,https://www.joinef.com/companies/spenny/,A one-stop asset management solution for millennials,Finance,Finance,Finance
X80 Security,https://www.joinef.com/companies/x80-security/,Generating intelligent cyber defences through automatic threat simulation.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Samp,https://www.joinef.com/companies/samp/,Digital twins for industrial facilities - reliable knowledge for everyone.,Energy,Energy,Energy
EyePick,https://www.joinef.com/companies/eyepick/,"EyePick builds a brain for robots to see, understand and act in the real-world.","Supply Chain, Transportation or Logistics",Manufacturing or Industrial,Robotics/IoT
Deeplife,https://www.joinef.com/companies/deeplife/,Deeplife creates digital twins of cell to accelerate drug discovery.,Healthcare,Biotechnology,Healthcare
Flaime,https://www.joinef.com/companies/flaime/,Revolutionising cloud gaming with dynamically distributed interactive 3D content delivery,Media or Entertainment,Gaming or eSports,Media or Entertainment
Exogene,https://www.joinef.com/companies/exogene/,Fast discovery of safer immunotherapies.,Biotechnology,Biotechnology,Biotechnology
CheMastery,https://www.joinef.com/companies/chemastery/,Building the infrastructure for chemistry.,Manufacturing or Industrial,Hardware,Manufacturing or Industrial
Recreate,https://www.joinef.com/companies/recreate/,Words to videos within minutes,Media or Entertainment,Media or Entertainment,Media or Entertainment
Waste Labs,https://www.joinef.com/companies/waste-labs/,Optimising waste collection with AI to make cities cleaner and more sustainable.,"Supply Chain, Transportation or Logistics",Data Science,"Supply Chain, Transportation or Logistics"
Origin Health,https://www.joinef.com/companies/origin-health/,AI-assisted clinician decision support solution for fetal ultrasound scans.,Healthcare,Healthcare,Healthcare
DiviGas,https://www.joinef.com/companies/divigas/,Industrial hydrogen purification and recovery at refineries and plants.,Sustainability,Energy,Sustainability
Bioponics,https://www.joinef.com/companies/bioponics/,Using bacteria to transform the future of fertilizer production.,"Food, Agriculture or Farming",Biotechnology,"Food, Agriculture or Farming"
Allozymes,https://www.joinef.com/companies/allozymes/,Fast and affordable enzyme development platform.,Biotechnology,Biotechnology,Biotechnology
Unbox Robotics,https://www.joinef.com/companies/unbox-robotics/,The AI-powered fleet of robots for parcel sorting.,"Supply Chain, Transportation or Logistics",Robotics/IoT,"Supply Chain, Transportation or Logistics"
TeOra.Life,https://www.joinef.com/companies/teora-life/,Rapidly programs smart microbes to replace synthetic products with natural and sustainable products,Sustainability,Biotechnology,Sustainability
Spidfier,https://www.joinef.com/companies/spidfier/,Fast fish analysis through advanced DNA sequencing.,"Food, Agriculture or Farming",Biotechnology,"Food, Agriculture or Farming"
PolyAI,https://www.joinef.com/companies/polyai/,Democratising conversational AI to give machines a voice,Media or Entertainment,Enterprise Solutions,Media or Entertainment
Sensight,https://www.joinef.com/companies/sensight/,Personalizing physical retail,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Real Analytics,https://www.joinef.com/companies/real-analytics/,AI-enabled land investing platform.,Finance,Finance,Finance
Qzense,https://www.joinef.com/companies/qzense/,Transforming fresh food supply chain with data,"Food, Agriculture or Farming","Food, Agriculture or Farming","Food, Agriculture or Farming"
QuantShip,https://www.joinef.com/companies/quantship/,Helping shipping companies unlock additional revenue by leveraging freight rate volatility.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Poseidon.AI,https://www.joinef.com/companies/poseidon-ai/,"Promoting sustainable aquaculture with smart and affordable hardware, backed by intelligent software.",Hardware,"Food, Agriculture or Farming",Hardware
Pixcap,https://www.joinef.com/companies/pixcap/,Creating 3D animation software designed to build the future of 3D content.,Media or Entertainment,Media or Entertainment,Media or Entertainment
Lytehouse,https://www.joinef.com/companies/lytehouse/,Smarter security workflow from detection to dispatch.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Healium Digital Healthcare,https://www.joinef.com/companies/healium-digital-healthcare/,Healium Digital Healthcare detects kidney diseases earlier than ever.,Healthcare,Healthcare,Healthcare
Fairphonic,https://www.joinef.com/companies/fairphonic/,An automated copyright recognition and royalties processing solution,Media or Entertainment,Media or Entertainment,Media or Entertainment
Energy Lite,https://www.joinef.com/companies/energy-lite/,Energy Lite are building the largest virtual power plant for renewable energy.,Sustainability,Energy,Sustainability
LightSpeedAI Labs,https://www.joinef.com/companies/lightspeedai-labs/,LightSpeedAI Labs is building revolutionary opto-electronic processors that accelerate AI computations.,Development Tools,Development Tools,Development Tools
Right-Hand Cybersecurity,https://www.joinef.com/companies/right-hand-cybersecurity/,"Right-Hand Cybersecurity provides a SaaS platform for organizations to monitor, measure, and mitigate employee inflicted cyber risk in real-time.",Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
BrainSight,https://www.joinef.com/companies/brainsight/,An AI-powered SaaS tool that helps psychiatrists to diagnose mental disorders using just MRI scans,Healthcare,Healthcare,Healthcare
Outside Voice,https://www.joinef.com/companies/outside-voice/,Outside Voice conducts qualitative market research at scale using intelligent bots.,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Recornea,https://www.joinef.com/companies/recornea/,"At RECORNEA we reinstate optimal vision in 15+ M patients suffering of Keratoconus, a progressive eye disease causing distorted vision.",Healthcare,Healthcare,Healthcare
Intensel,https://www.joinef.com/companies/intensel/,Providing AI-powered technology for analyzing risks related to climate change.,Finance,Environmental Science,Finance
F-drones,https://www.joinef.com/companies/f-drones/,F-drones is transforming marine and offshore logistics with proprietary aerial delivery drones.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Greywing,https://www.joinef.com/companies/greywing/,A new operating system for maritime.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
AarogyaAI,https://www.joinef.com/companies/aarogyaai/,AarogyaAI is an AI-enabled SaaS that diagnoses drug-resistant turberculosis (DR-TB) in hours instead of weeks.,Healthcare,Healthcare,Healthcare
KROSSLINKER,https://www.joinef.com/companies/krosslinker/,KrossLinker develops the world’s best insulation material for bio-pharma packaging.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
MechaniX,https://www.joinef.com/companies/mechanix/,MechaniX unlocks the true potential of A.I. with synthetic data generation.,Data Science,Data Science,Data Science
PakkaProfile,https://www.joinef.com/companies/pakkaprofile/,PakkaProfile transforms the way companies profile the blue-collared workforce.,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
ImVitro,https://www.joinef.com/companies/imvitro/,We combine the power of cell culture and AI to tackle infertility.,Healthcare,Healthcare,Healthcare
Better By Less,https://www.joinef.com/companies/better-by-less/,"Avoid plastic waste - with a
subscription of personal care
products.",Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Novoic,https://www.joinef.com/companies/novoic/,Novoic is predicting brain disease from speech.,Healthcare,Healthcare,Healthcare
TOffeeAM,https://www.joinef.com/companies/toffeeam/,Creating intelligent and efficient engineering component designs for industrial Additive Manufacturing.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
R.grid,https://www.joinef.com/companies/r-grid/,Intelligently streamlining medical research processes to cut costs and resource-intensive delays,Healthcare,Healthcare,Healthcare
MatchCasts,https://www.joinef.com/companies/matchcasts/,Ad-tech platform that helps brands take their audio advertising to the next level,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Fairbrics,https://www.joinef.com/companies/fairbrics/,Fairbrics provide carbon negative fabrics for the fashion industry.,Sustainability,Climate or Environment,Manufacturing or Industrial
BKwai,https://www.joinef.com/companies/bkwai/,Leveraging data to improve the safety and resilience of the built environment.,Development Tools,Development Tools,Development Tools
Opvia,https://www.joinef.com/companies/opvia/,Accelerate bioprocesses with AI,Biotechnology,Biotechnology,Biotechnology
Plantik Biosciences,https://www.joinef.com/companies/plantik-biosciences/,"Shaping the future of plant breeding, starting
with cannabis","Food, Agriculture or Farming",Biotechnology,"Food, Agriculture or Farming"
MiProbes,https://www.joinef.com/companies/miprobes/,MiProbes makes food safety testing fast and simple,Biotechnology,Biotechnology,Biotechnology
niostem,https://www.joinef.com/companies/niostem/,Niostem (formerly Mane Biotech) unlocks the body’s natural regeneration potential to grow hair.,Consumer,Biotechnology,Consumer
Lesan AI,https://www.joinef.com/companies/lesan-ai/,Instantly translates low resource languages - unlocking the web for the next billion users.,Development Tools,Development Tools,Development Tools
Imperium Drive,https://www.joinef.com/companies/imperium-drive/,Developing teleoperation technology to accelerate deployment of shared and autonomous mobility.,Automotive,Automotive,Automotive
Fuelcast,https://www.joinef.com/companies/fuelcast/,Making ships intelligent by optimising fuel consumption.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Morta,https://www.joinef.com/companies/morta/,Bringing efficiency to capital project supply chains through automation.,"Supply Chain, Transportation or Logistics",Manufacturing or Industrial,"Supply Chain, Transportation or Logistics"
Panakeia,https://www.joinef.com/companies/panakeia/,Making cancer diagnosis faster and cheaper by eliminating the need for multiple tests,Healthcare,Healthcare,Healthcare
Qantev,https://www.joinef.com/companies/qantev/,QantEv optimizes provider networks for health insurers,Finance,Finance,Finance
Sense Street,https://www.joinef.com/companies/sense-street/,Developing natural language understanding systems for capital markets,Finance,Finance,Finance
Omini,https://www.joinef.com/companies/omini/,Making blood tests 100x faster and 100x simpler,Healthcare,Healthcare,Healthcare
Flowlity,https://www.joinef.com/companies/flowlity/,Building the world's first cognitive supply chain network.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
SQUAREMIND,https://www.joinef.com/companies/squaremind/,"Developing a disruptive solution for oncology purposes, leveraging breakthrough software technologies",Healthcare,Healthcare,Healthcare
Rosecut,https://www.joinef.com/companies/rosecut/,"A digital private bank that offers bespoke, regulated advice in real-time",Finance,Finance,Finance
Nanovery,https://www.joinef.com/companies/nanovery/,Developing nanorobots to diagnose the world’s deadliest diseases,Healthcare,Healthcare,Healthcare
cirplus,https://www.joinef.com/companies/cirplus/,cirplus is the global marketplace for recycled plastics.,"Supply Chain, Transportation or Logistics",Commerce or Marketplace,"Supply Chain, Transportation or Logistics"
VineHealth,https://www.joinef.com/companies/vinehealth/,Using behavioural science and AI to increase the survival of cancer patients,Healthcare,Healthcare,Healthcare
Reallm,https://www.joinef.com/companies/reallm/,Providing business intelligence for the supply side of marketplaces,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
DeltaBlock,https://www.joinef.com/companies/deltablock/,DeltaBlock adapts traditional capital liquidity services for Digital Assets,Finance,Finance,Finance
Nostos Genomics,https://www.joinef.com/companies/nostos-genomics/,Improving the lives of the 400 million people around the world who have a genetic disease.,Healthcare,Healthcare,Healthcare
PacketAI,https://www.joinef.com/companies/packetai/,AI to automate IT Operations.,Development Tools,Development Tools,Development Tools
Semblr Technologies,https://www.joinef.com/companies/semblr-technologies/,"Automating building construction using small, swarming robots.",Robotics/IoT,"Construction, Property or Real Estate",Manufacturing or Industrial
Blazar,https://www.joinef.com/companies/blazar/,Blazar uses machine learning to predict cancer response to immunotherapy.,Healthcare,Healthcare,Healthcare
Leakmited,https://www.joinef.com/companies/leakmited/,Leakmited detects water leakage from space.,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Volt14 Solutions Limited,https://www.joinef.com/companies/volt14-solutions-limited/,Advanced Materials for 2x Battery Performance,Energy,Energy,Energy
AI Palette,https://www.joinef.com/companies/ai-palette/,AI Palette creates successful FMCG product concepts at speed.,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Merkle Science,https://www.joinef.com/companies/merkle-science/,A risk monitoring solution to detect and prevent illegal use of cryptocurrencies,web3,Finance,web3
SixSense,https://www.joinef.com/companies/sixsense/,AI software for manufacturers to eliminate product abnormalities.,"Supply Chain, Transportation or Logistics",Manufacturing or Industrial,Robotics/IoT
Neurum,https://www.joinef.com/companies/neurum/,"Leveraging digital data to understand then manage behavioural health - in the real world, real-time",Healthcare,Healthcare,Healthcare
AIMS,https://www.joinef.com/companies/aims/,Digitising youth sports education through motion capture and artificial intelligence.,Education,Education,Education
Staple,https://www.joinef.com/companies/staple/,Deep neural networks and cognitive automation for accounting.,Finance,Finance,Finance
Wavel.AI,https://www.joinef.com/companies/wavel-ai/,Redefining the transcription industry with AI,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Caelus Technologies,https://www.joinef.com/companies/caelus-technologies/,Disruptive data converter IP solutions,Data Science,Data Science,Data Science
Carnot Innovations,https://www.joinef.com/companies/carnot-innovations/,Pioneering optimization of building operation costs by using AI-based predictive analytics to predict and preempt mechanical equipment failures.,Energy,"Construction, Property or Real Estate",Energy
BIOPSIN,https://www.joinef.com/companies/biopsin/,Transforming microbial diagnostics by enabling real-time detection of pathogens,Biotechnology,Biotechnology,Biotechnology
EndoVision,https://www.joinef.com/companies/endovision/,AI driven diagnosis for upper GI Endoscopy.,Healthcare,Healthcare,Healthcare
SEPPURE,https://www.joinef.com/companies/seppure/,SEPPURE is revolutionizing chemical separation and purification.,Sustainability,Manufacturing or Industrial,Sustainability
Zeroheight,https://www.joinef.com/companies/zeroheight/,"Puts an end to fixed-size mobile design, giving designers powerful new tools to communicate with developers.",Development Tools,Design,Development Tools
Xihelm,https://www.joinef.com/companies/xihelm/,Using deep artificial intelligence software to revolutionise robotic harvesting.,"Food, Agriculture or Farming","Food, Agriculture or Farming","Food, Agriculture or Farming"
WILD.AI,https://www.joinef.com/companies/wild-ai/,Leveraging AI to optimise training,Healthcare,Healthcare,Healthcare
VRcollab,https://www.joinef.com/companies/vrcollab/,Real time rendering and multi-user VR to enable communication of building information between architects and their clients.,Manufacturing or Industrial,"Construction, Property or Real Estate",Manufacturing or Industrial
VFlowTech,https://www.joinef.com/companies/vflowtech/,"Safe, long-lasting, high-performing, low-cost flow batteries for large scale energy storage application",Energy,Energy,Energy
UI-licious,https://www.joinef.com/companies/ui-licious/,"Automates UI testing, without needing testers to have expert coding skills.",,,
Transformative,https://www.joinef.com/companies/transformative/,On a mission to transform healthcare through predictive analytics,Healthcare,Healthcare,Healthcare
Transcelestial,https://www.joinef.com/companies/transcelestial/,A space data network using lasers to transfer data at up to 1000x faster,Space,Space,Space
ThirdEye,https://www.joinef.com/companies/thirdeye/,Building crime-fighting AI engines for CCTV to help retailers reduce theft,Data Science,Cyber Security or Privacy,Data Science
ThinkSono,https://www.joinef.com/companies/thinksono/,"DVT diagnosis 30x faster, and a fraction of the cost.",Healthcare,Healthcare,Healthcare
Split,https://www.joinef.com/companies/split/,Changing the way people finance their purchases so it works for everyone,Finance,Finance,Finance
SpeakSet,https://www.joinef.com/companies/speakset/,"The world’s simplest remote care service, enabling clinicians to talk to patients using video calling on TVs.",Healthcare,Healthcare,Healthcare
Sparrho,https://www.joinef.com/companies/sparrho/,Sparrho’s vision is to democratise science by combining human and machine intelligence.,Education,Education,Education
Sentient Machines,https://www.joinef.com/companies/sentient-machines/,Using deep learning to bring customer understanding to the call centre industry,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Elixir AI,https://www.joinef.com/companies/elixir-ai/,A digital platform for child health,Healthcare,Healthcare,Healthcare
SensorFlow,https://www.joinef.com/companies/sensorflow/,"Making every building more productive, energy-efficient and sustainable.",Energy,Energy,Energy
Selerio,https://www.joinef.com/companies/selerio/,Real-time video platform for next-generation video-centric applications,Media or Entertainment,Media or Entertainment,Media or Entertainment
See-Mode,https://www.joinef.com/companies/see-mode/,Empowering doctors to predict strokes and save lives,Healthcare,Healthcare,Healthcare
Scape,https://www.joinef.com/companies/scape/,Focussed on building the core location infrastructure for city-scale augmented reality & location-based services,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Scalia,https://www.joinef.com/companies/scalia/,The first ever intelligent data exchange platform connecting the worlds of brands and online retailers.,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Resync,https://www.joinef.com/companies/resync/,Providing AI enhanced Intelligent Energy cloud platform for smart buildings and distributed energy resources,Sustainability,Energy,Sustainability
Resurgo Genetics,https://www.joinef.com/companies/resurgo-genetics/,Building a universal tool to precisely change any living system,Biotechnology,Biotechnology,Biotechnology
Represent,https://www.joinef.com/companies/represent/,A digital marketing and social merchandising platform,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Qritive,https://www.joinef.com/companies/qritive/,"Making cancer diagnosis fast, cheap, and accurate",Healthcare,Healthcare,Healthcare
QFlow,https://www.joinef.com/companies/qflow/,Revolutionising the way engineers manage emergent risks during construction.,Manufacturing or Industrial,"Construction, Property or Real Estate",Manufacturing or Industrial
Proportunity,https://www.joinef.com/companies/proportunity/,Unlocking the value of home ownership for everyone,"Construction, Property or Real Estate","Construction, Property or Real Estate","Construction, Property or Real Estate"
PROPINE,https://www.joinef.com/companies/propine/,PROPINE use proprietary hardware and software to ensure delivery of an industry-best cold storage solution.,web3,Finance,web3
Privyr,https://www.joinef.com/companies/privyr/,Privyr equips salespeople with AI and automation to intelligently profile clients.,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Portify,https://www.joinef.com/companies/portify/,"Portify is laying the infrastructure to give workers the flexibility of gig-work, with the benefits of traditional employment.",Finance,Finance,Finance
Portcast,https://www.joinef.com/companies/portcast/,Making logistics profitable with accurate demand forecasts,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Plural AI,https://www.joinef.com/companies/plural-ai/,Building an intelligent research assistant to solve the fundamental frustration of knowledge professionals,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
Plumerai,https://www.joinef.com/companies/plumerai/,Making small machines intelligent by enabling them to use the power of deep learning locally and in real-time,Hardware,Hardware,Hardware
pi-top,https://www.joinef.com/companies/pi-top/,pi-top delivers the future of STEM education with made for makers and educators DIY laptop and desktop products,Education,Education,Education
Phoelex,https://www.joinef.com/companies/phoelex/,Phoelex provides optical connectivity solutions for hyperscale datacenters.,Data Science,Data Science,Data Science
Phantasma,https://www.joinef.com/companies/phantasma/,Simulation as a Service to generate data-sets at scale for training self-driving cars.,Automotive,Automotive,Automotive
PetaGene,https://www.joinef.com/companies/petagene/,"Enabling smaller, faster, better genomics data",Biotechnology,Biotechnology,Biotechnology
Permutive,https://www.joinef.com/companies/permutive/,The audience platform to grow your revenue.,Data Science,Advertising/Marketing,Data Science
Pencil,https://www.joinef.com/companies/pencil/,The world’s first creative AI platform for digital advertising teams in brands and agencies,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Papercup,https://www.joinef.com/companies/papercup/,AI to translate the voice track on videos so every creator can expand their reach to seven billion people.,Media or Entertainment,Media or Entertainment,Media or Entertainment
Optimal Labs,https://www.joinef.com/companies/optimal-labs/,Building technology for autonomous greenhouses by combining AI with the latest research in plant sciences,Sustainability,"Food, Agriculture or Farming",Sustainability
Open Cosmos,https://www.joinef.com/companies/open-cosmos/,"Designing, manufacturing, and operating satellites.",Space,Space,Space
Octeract,https://www.joinef.com/companies/octeract/,Solving today’s unsolvable optimization problems,Data Science,Data Science,Data Science
Observe Technologies,https://www.joinef.com/companies/observe-technologies/,"Applying computer vision and machine learning to optimise aquaculture farms, so that farmers will not miss any opportunity to maximise stock value","Food, Agriculture or Farming","Food, Agriculture or Farming","Food, Agriculture or Farming"
Datapane,https://www.joinef.com/companies/datapane/,Connecting data science insights with end users.,Development Tools,Development Tools,Development Tools
nPlan,https://www.joinef.com/companies/nplan/,nPlan’s software uses machine learning to analyse construction schedules to determine where the biggest risks lie and then recommend improvements.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Nodes and Links,https://www.joinef.com/companies/nodes-and-links/,Nodes & Links is taming the complexity of modern projects,Manufacturing or Industrial,"Construction, Property or Real Estate",Manufacturing or Industrial
Nivoda,https://www.joinef.com/companies/nivoda/,Aggregating the world's diamonds,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Neurofenix,https://www.joinef.com/companies/neurofenix/,Making rehabilitation affordable and enjoyable for stroke patients,Healthcare,Healthcare,Healthcare
Musiio,https://www.joinef.com/companies/musiio/,"Developing A.I. solutions to help music aggregators, production libraries and major record labels with curation.",Media or Entertainment,Media or Entertainment,Media or Entertainment
Multiply,https://www.joinef.com/companies/multiply/,"Interactive, adaptive personalised financial plans",Finance,Finance,Finance
